Rank,slope
S,-0.0168712025
A+,0.00313640428571429
A,-0.0016955508333333386
A-,0.0038008741666666645
B+,-3.6360500000000046e-4
B,-5.124243750000013e-4
B-,-0.0015958509999999995
C+,-1.79719999999999e-4
C,5.66198235294119e-4
C-,-9.727818181818154e-5
NA,-2.293065408805062e-5
S,-0.004197962500000006
A+,0.005288512857142861
A,5.984841666666666e-4
A-,0.0014033858333333319
B+,0.0013756374999999974
B,6.675843750000017e-4
B-,1.2540900000000143e-4
C+,-1.5816999999999942e-4
C,0.001791859411764706
C-,1.3977636363636262e-4
NA,-1.1712037735849536e-5
S,0.004703642500000001
A+,-2.8570428571428596e-4
A,2.602324999999966e-4
A-,3.374524999999939e-4
B+,5.245999999999879e-5
B,-2.730693750000007e-4
B-,-6.725099999999861e-5
C+,-3.978666666666508e-5
C,-4.5089705882352625e-4
C-,3.867400000000007e-4
NA,-1.3328088050314695e-5
S,-0.008076137499999995
A+,0.0014094557142857096
A,-3.5967416666666564e-4
A-,-0.00394703083333334
B+,-8.003225000000001e-4
B,-5.927306249999981e-4
B-,-1.9212499999999975e-4
C+,-7.284833333333331e-4
C,0.0018524311764705897
C-,9.238109090909087e-4
NA,2.9199534591194964e-5
S,0.0038873774999999963
A+,-0.0018600071428571438
A,-0.001437875833333335
A-,0.0016032124999999938
B+,-1.538025000000012e-4
B,-4.243643750000004e-4
B-,5.334290000000031e-4
C+,3.4899999999999824e-4
C,-4.099888235294083e-4
C-,-0.00118827090909091
NA,2.3415094339630824e-7
S,-0.022082207500000006
A+,-0.004181687142857131
A,-8.170791666666678e-4
A-,-0.0014850991666666685
B+,-1.4973749999999962e-4
B,-6.136312499999914e-5
B-,-9.946429999999993e-4
C+,8.860666666666684e-4
C,0.0015868064705882373
C-,4.7825454545453784e-5
NA,-4.70623018867929e-5
S,0.0013492824999999946
A+,-0.004274564285714287
A,8.379158333333323e-4
A-,-0.00226959083333334
B+,-1.0791750000000279e-4
B,-3.882368750000005e-4
B-,1.1054500000000266e-4
C+,2.6406666666666717e-5
C,-0.0012685782352941143
C-,-5.486854545454553e-4
NA,-2.5310981132075835e-5
S,0.0023597775000000023
A+,-0.002489367142857138
A,0.001046105833333336
A-,0.0019309674999999995
B+,6.087249999999997e-4
B,-3.378543750000014e-4
B-,-6.020529999999979e-4
C+,-0.001238176666666664
C,-8.420429411764673e-4
C-,-0.001191527272727273
NA,1.8297484276729385e-6
S,-0.008722992499999999
A+,-0.0038923385714285676
A,-0.0036358591666666635
A-,0.0024081108333333396
B+,-4.5179500000000017e-4
B,-0.0012041981249999985
B-,-5.238909999999981e-4
C+,5.377000000000024e-5
C,-0.0019235958823529359
C-,1.9240000000000042e-4
NA,-1.403025157232754e-5
S,0.010848137500000004
A+,-0.003040129999999997
A,-0.0013761025000000005
A-,5.434124999999986e-4
B+,0.0019975275000000026
B,9.523562500000164e-5
B-,2.6316300000000197e-4
C+,-6.950566666666659e-4
C,-0.0019606264705882286
C-,-0.001213069090909091
NA,1.1941018867924709e-5
S,0.027242142500000014
A+,0.0019825328571428614
A,0.0019680158333333308
A-,0.0025082741666666653
B+,-0.0013467850000000016
B,-3.11615625e-4
B-,8.864130000000025e-4
C+,9.170366666666645e-4
C,-2.4104058823529165e-4
C-,-9.259454545454629e-5
NA,1.4110805031446492e-5
S,0.0162080525
A+,-0.004815127142857146
A,-0.001217887500000001
A-,8.532525000000022e-4
B+,9.498950000000004e-4
B,-8.051631250000011e-4
B-,-5.258989999999975e-4
C+,3.424433333333349e-4
C,-5.363723529411721e-4
C-,8.361927272727271e-4
NA,1.5377421383647792e-5
S,-0.0178971275
A+,0.009498661428571432
A,-5.420874999999972e-4
A-,6.564675000000029e-4
B+,-1.5004750000000095e-4
B,3.712562499999863e-5
B-,-3.9225499999999793e-4
C+,2.4852666666666523e-4
C,8.218882352941412e-5
C-,5.061890909090913e-4
NA,-7.499306918239118e-5
S,0.0076352075
A+,0.005471624285714294
A,-5.578750000000507e-5
A-,0.0038145608333333375
B+,-8.056175000000002e-4
B,-4.3253187499999975e-4
B-,0.0011163730000000017
C+,-0.001355599999999998
C,9.742652941176526e-4
C-,-5.576654545454555e-4
NA,1.2374704402515679e-5
S,-0.0123938375
A+,0.002110232857142853
A,-7.44884166666672e-4
A-,-9.79925000000018e-5
B+,-1.0775249999999816e-4
B,9.504106249999995e-4
B-,-4.1537499999999864e-4
C+,-2.6872333333333257e-4
C,-4.522088235294084e-4
C-,-5.572054545454552e-4
NA,3.891266666666671e-5
S,0.007305152500000004
A+,-0.0032110014285714203
A,8.766824999999958e-4
A-,0.00121662416666667
B+,0.0015889824999999992
B,7.611518750000012e-4
B-,-6.550449999999986e-4
C+,8.631133333333325e-4
C,3.523535294117675e-4
C-,-9.348254545454538e-4
NA,2.641155974842785e-5
S,-0.02786592250000001
A+,-0.008329884285714278
A,0.0032566908333333307
A-,0.0024750991666666693
B+,0.001263239999999999
B,-0.0012138106249999986
B-,5.216470000000008e-4
C+,1.1735666666666681e-4
C,1.507076470588295e-4
C-,1.4611999999999953e-4
NA,-6.488415094339895e-6
S,0.007145952499999997
A+,-0.001511887142857148
A,7.97885833333333e-4
A-,-0.0032503875000000067
B+,-7.372100000000006e-4
B,-0.0012176931250000018
B-,6.246770000000013e-4
C+,4.151599999999983e-4
C,1.497705882353508e-5
C-,-4.336309090909099e-4
NA,-7.189345911950043e-6
S,0.0014935025000000041
A+,0.0018300814285714282
A,4.0733083333333416e-4
A-,0.003643990833333334
B+,-7.390649999999999e-4
B,-6.361531249999986e-4
B-,-2.1515099999999823e-4
C+,-9.286700000000014e-4
C,-0.0021809676470588213
C-,-7.365927272727267e-4
NA,-3.174154716981162e-5
S,-7.552875000000024e-4
A+,-0.0030084442857142863
A,3.8103249999999665e-4
A-,0.003002717500000006
B+,-0.0016995275
B,2.539281250000018e-4
B-,6.748230000000013e-4
C+,3.1616666666667444e-5
C,0.001388864117647064
C-,-8.861836363636369e-4
NA,-1.3245220125786664e-5
S,0.0148771275
A+,-0.00106435
A,0.001140960833333335
A-,-7.1509583333334e-4
B+,0.001179362500000001
B,-7.502631250000016e-4
B-,-5.958369999999988e-4
C+,6.85439999999998e-4
C,0.0010173017647058867
C-,-1.2649272727272668e-4
NA,1.737055345911951e-5
S,-0.024754997500000004
A+,-0.0073551757142857185
A,-0.001165505833333337
A-,1.8593750000000267e-4
B+,-0.001081237500000002
B,-6.110181250000009e-4
B-,2.069570000000008e-4
C+,-4.6912999999999854e-4
C,-1.9669705882352785e-4
C-,-3.515527272727271e-4
NA,2.4336188679245786e-5
S,-0.02832169250000001
A+,0.0030594442857142853
A,-8.758258333333339e-4
A-,0.0027114091666666654
B+,-7.689999999999962e-5
B,-4.548643750000023e-4
B-,-2.843669999999987e-4
C+,7.583833333333317e-4
C,0.0015638605882352958
C-,0.001303456363636364
NA,1.8002830188679186e-5
S,0.006100357499999997
A+,-2.34632857142853e-4
A,0.0011423708333333294
A-,0.001252052500000001
B+,0.001160774999999999
B,8.144843750000011e-4
B-,0.0020013990000000014
C+,6.865466666666658e-4
C,-0.001615158235294114
C-,-0.0013386072727272736
NA,2.9173748427673758e-5
S,-0.011962887500000003
A+,0.002820504285714281
A,-0.0015599625000000004
A-,9.034741666666664e-4
B+,-9.242625000000024e-4
B,2.487118749999985e-4
B-,-7.353589999999987e-4
C+,6.619566666666646e-4
C,-8.26231176470583e-4
C-,-3.19385454545455e-4
NA,-2.365647798742247e-6
S,0.006132742500000002
A+,7.650328571428528e-4
A,-6.119724999999976e-4
A-,0.002941414166666667
B+,-0.00165481
B,3.7811562499999793e-4
B-,-5.506749999999995e-4
C+,7.362666666666533e-5
C,2.2411764706547606e-7
C-,2.5076363636364213e-5
NA,-2.2007710691824632e-5
S,-0.004519862499999999
A+,-0.0018224557142857102
A,0.0023669675000000004
A-,-0.0011487408333333382
B+,-4.7905000000000105e-4
B,-1.9472062500000138e-4
B-,0.0013803490000000014
C+,5.516433333333351e-4
C,-4.3640999999999727e-4
C-,3.058145454545457e-4
NA,-2.267660377358612e-6
S,-0.012630087500000007
A+,0.007514687142857148
A,-6.797491666666725e-4
A-,0.0012580825000000028
B+,0.001014337499999999
B,-7.821643749999985e-4
B-,1.3246300000000193e-4
C+,3.544033333333322e-4
C,-2.971582352941145e-4
C-,-2.2362545454545428e-4
NA,-5.0536792452831056e-5
S,-0.02060923750000001
A+,0.0014717757142857202
A,1.0902749999999894e-4
A-,0.0023853908333333357
B+,7.58817499999997e-4
B,-8.350093749999995e-4
B-,-6.175189999999982e-4
C+,1.5112999999999737e-4
C,3.7881352941176885e-4
C-,1.7787636363636366e-4
NA,1.696074213836479e-5
S,0.009940002500000005
A+,0.0017050757142857119
A,0.001214145833333337
A-,0.003472974166666667
B+,0.002183027499999999
B,7.932543749999975e-4
B-,3.3562100000000117e-4
C+,-8.262033333333351e-4
C,-5.923299999999954e-4
C-,-0.0013124781818181824
NA,-1.589802515723329e-5
S,-0.005333862500000001
A+,-7.256385714285717e-4
A,-0.001103129166666666
A-,-0.0022514491666666666
B+,1.860850000000017e-4
B,1.6218062499999902e-4
B-,4.6473700000000136e-4
C+,5.78643333333334e-4
C,1.5092529411765083e-4
C-,-1.2016000000000064e-4
NA,1.3328037735848958e-5
S,0.028338332499999997
A+,-0.005446775714285721
A,-2.4939749999999876e-4
A-,-8.846641666666621e-4
B+,-0.001058915000000002
B,6.544187499999971e-5
B-,4.237100000000142e-5
C+,-2.2998333333333417e-4
C,6.256770588235316e-4
C-,2.275218181818185e-4
NA,-3.08646415094346e-5
S,0.013512327500000011
A+,0.003763909999999997
A,2.10444166666663e-4
A-,0.0020902108333333332
B+,-0.0017481250000000001
B,2.7922562500000024e-4
B-,-1.7995899999999828e-4
C+,1.99570000000001e-4
C,2.748135294117701e-4
C-,-1.9351636363636385e-4
NA,-1.2109396226415532e-5
S,0.028808132500000003
A+,-0.008777135714285714
A,-5.419758333333305e-4
A-,8.83134166666666e-4
B+,-5.444174999999999e-4
B,-5.424506250000011e-4
B-,-0.002003920999999999
C+,-7.111100000000028e-4
C,1.0850882352941611e-4
C-,-0.0010007709090909082
NA,2.105572327043852e-6
S,0.005631442500000001
A+,0.002336538571428563
A,-0.001510175833333337
A-,9.347874999999961e-4
B+,-1.8710500000000262e-4
B,-8.047293750000024e-4
B-,2.5148500000000084e-4
C+,-2.7489666666666844e-4
C,-5.673241176470563e-4
C-,7.846909090909026e-5
NA,-1.551769811320809e-5
S,-0.015296047499999995
A+,-0.011296404285714282
A,0.001239335833333331
A-,-0.0028888625000000065
B+,-0.0024742724999999954
B,7.149218749999991e-4
B-,-3.090749999999985e-4
C+,6.863033333333324e-4
C,0.0012635876470588263
C-,-3.7095636363636416e-4
NA,3.7099748427671493e-6
S,-0.001404087499999997
A+,-0.004394395714285716
A,-0.0010374658333333314
A-,-0.0020611575000000068
B+,-5.376949999999997e-4
B,-1.285393749999987e-4
B-,-9.431749999999987e-4
C+,4.2791333333333146e-4
C,-0.0017119994117646992
C-,6.62852727272728e-4
NA,1.507274213836509e-5
S,-0.00932675750000001
A+,0.007867184285714285
A,-3.7712416666666897e-4
A-,-0.0022003308333333415
B+,4.404150000000004e-4
B,3.003531250000008e-4
B-,9.95615000000001e-4
C+,0.0010275433333333311
C,-1.3574705882347027e-5
C-,2.2980363636363618e-4
NA,3.763299371069202e-5
S,-0.008957672500000007
A+,-0.008221867142857133
A,-6.243808333333347e-4
A-,-0.0011733925000000044
B+,0.0024972174999999975
B,1.4137562499999778e-4
B-,-4.828349999999983e-4
C+,1.6805333333333078e-4
C,-2.326241176470529e-4
C-,-5.88674545454545e-4
NA,-2.8913874213836778e-5
S,-0.0021886724999999984
A+,-0.0025237357142857053
A,-0.003903965833333337
A-,-0.0017648158333333378
B+,-4.366924999999992e-4
B,-9.06756250000026e-5
B-,4.065610000000023e-4
C+,-0.0011038866666666653
