 Total battles: 2245258
 Avg. weight/team: 0.041
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 44.83647% | 1270091 | 28.284% | 1095355 | 31.759% | 
 | 2    | Magearna           | 27.48280% | 599033 | 13.340% | 473823 | 13.738% | 
 | 3    | Greninja-Ash       | 20.45589% | 771713 | 17.185% | 561892 | 16.292% | 
 | 4    | Tapu Koko          | 18.62086% | 674104 | 15.012% | 535546 | 15.528% | 
 | 5    | Kartana            | 18.52377% | 576883 | 12.847% | 421186 | 12.212% | 
 | 6    | Ferrothorn         | 17.48062% | 722753 | 16.095% | 615380 | 17.843% | 
 | 7    | Tornadus-Therian   | 16.16387% | 382304 |  8.514% | 299333 |  8.679% | 
 | 8    | Heatran            | 14.86104% | 597009 | 13.295% | 488878 | 14.175% | 
 | 9    | Tapu Lele          | 12.53137% | 374279 |  8.335% | 279045 |  8.091% | 
 | 10   | Zapdos             | 11.32464% | 416755 |  9.281% | 333476 |  9.669% | 
 | 11   | Greninja           | 11.13940% | 445780 |  9.927% | 336885 |  9.768% | 
 | 12   | Tapu Fini          | 11.09708% | 331860 |  7.390% | 271999 |  7.886% | 
 | 13   | Garchomp           | 10.90414% | 468068 | 10.423% | 369127 | 10.703% | 
 | 14   | Toxapex            | 10.86344% | 430092 |  9.578% | 334251 |  9.691% | 
 | 15   | Rotom-Wash         | 10.33919% | 427532 |  9.521% | 360779 | 10.461% | 
 | 16   | Excadrill          | 10.14838% | 336271 |  7.488% | 260352 |  7.549% | 
 | 17   | Medicham-Mega      |  9.41296% | 232783 |  5.184% | 184631 |  5.353% | 
 | 18   | Tapu Bulu          |  8.77952% | 290960 |  6.479% | 221871 |  6.433% | 
 | 19   | Chansey            |  8.35419% | 348511 |  7.761% | 263291 |  7.634% | 
 | 20   | Celesteela         |  8.07220% | 337655 |  7.519% | 268969 |  7.799% | 
 | 21   | Mawile-Mega        |  8.06446% | 237376 |  5.286% | 174307 |  5.054% | 
 | 22   | Kommo-o            |  7.81225% | 278796 |  6.209% | 204558 |  5.931% | 
 | 23   | Serperior          |  7.64623% | 387156 |  8.622% | 283151 |  8.210% | 
 | 24   | Pelipper           |  7.59283% | 244307 |  5.441% | 223759 |  6.488% | 
 | 25   | Swampert-Mega      |  7.38411% | 248703 |  5.538% | 202743 |  5.878% | 
 | 26   | Tangrowth          |  7.23568% | 237040 |  5.279% | 185087 |  5.367% | 
 | 27   | Victini            |  7.03760% | 241976 |  5.389% | 186021 |  5.394% | 
 | 28   | Scizor-Mega        |  6.95207% | 245158 |  5.459% | 188380 |  5.462% | 
 | 29   | Clefable           |  6.70899% | 272739 |  6.074% | 201693 |  5.848% | 
 | 30   | Magnezone          |  6.56524% | 277036 |  6.169% | 216377 |  6.274% | 
 | 31   | Hawlucha           |  6.47692% | 268992 |  5.990% | 184291 |  5.343% | 
 | 32   | Lopunny-Mega       |  6.27748% | 272677 |  6.072% | 210350 |  6.099% | 
 | 33   | Gliscor            |  5.79861% | 414500 |  9.231% | 323529 |  9.381% | 
 | 34   | Kyurem-Black       |  5.77465% | 204278 |  4.549% | 152347 |  4.417% | 
 | 35   | Tyranitar          |  5.75077% | 265988 |  5.923% | 210620 |  6.107% | 
 | 36   | Skarmory           |  5.59247% | 227983 |  5.077% | 189367 |  5.491% | 
 | 37   | Volcarona          |  5.51643% | 311938 |  6.947% | 223223 |  6.472% | 
 | 38   | Blacephalon        |  5.33681% | 222879 |  4.963% | 159876 |  4.636% | 
 | 39   | Charizard-Mega-X   |  5.26005% | 309415 |  6.890% | 230329 |  6.678% | 
 | 40   | Jirachi            |  5.24258% | 180920 |  4.029% | 139019 |  4.031% | 
 | 41   | Alakazam-Mega      |  5.04749% | 271016 |  6.035% | 180703 |  5.239% | 
 | 42   | Diancie-Mega       |  5.03214% | 191451 |  4.263% | 151852 |  4.403% | 
 | 43   | Gyarados-Mega      |  4.73841% | 166423 |  3.706% | 125494 |  3.639% | 
 | 44   | Keldeo             |  4.41079% | 155908 |  3.472% | 118796 |  3.444% | 
 | 45   | Azumarill          |  4.37627% | 150646 |  3.355% | 112265 |  3.255% | 
 | 46   | Charizard-Mega-Y   |  3.77741% | 235023 |  5.234% | 184735 |  5.356% | 
 | 47   | Mew                |  3.76312% | 162137 |  3.611% | 126520 |  3.668% | 
 | 48   | Pinsir-Mega        |  3.67703% | 124965 |  2.783% | 87750  |  2.544% | 
 | 49   | Tyranitar-Mega     |  3.53102% | 131855 |  2.936% | 100942 |  2.927% | 
 | 50   | Sableye-Mega       |  3.52625% | 121095 |  2.697% | 106371 |  3.084% | 
 | 51   | Hoopa-Unbound      |  3.52367% | 127682 |  2.843% | 88466  |  2.565% | 
 | 52   | Mimikyu            |  3.41102% | 263725 |  5.873% | 184191 |  5.341% | 
 | 53   | Latias-Mega        |  3.38737% | 62154  |  1.384% | 46275  |  1.342% | 
 | 54   | Venusaur-Mega      |  3.35529% | 200757 |  4.471% | 156017 |  4.524% | 
 | 55   | Dragonite          |  2.92482% | 202413 |  4.508% | 145938 |  4.231% | 
 | 56   | Manaphy            |  2.47894% | 55387  |  1.233% | 40253  |  1.167% | 
 | 57   | Weavile            |  2.40855% | 142438 |  3.172% | 104588 |  3.032% | 
 | 58   | Reuniclus          |  2.36337% | 54963  |  1.224% | 39304  |  1.140% | 
 | 59   | Hippowdon          |  2.21420% | 61595  |  1.372% | 52827  |  1.532% | 
 | 60   | Cresselia          |  2.21335% | 68301  |  1.521% | 52812  |  1.531% | 
 | 61   | Latios-Mega        |  2.08725% | 52502  |  1.169% | 39546  |  1.147% | 
 | 62   | Bisharp            |  2.05325% | 104253 |  2.322% | 72989  |  2.116% | 
 | 63   | Araquanid          |  1.97611% | 79785  |  1.777% | 67989  |  1.971% | 
 | 64   | Ribombee           |  1.79730% | 60216  |  1.341% | 53767  |  1.559% | 
 | 65   | Ditto              |  1.79389% | 70496  |  1.570% | 51627  |  1.497% | 
 | 66   | Kingdra            |  1.77293% | 78070  |  1.739% | 54730  |  1.587% | 
 | 67   | Amoonguss          |  1.76261% | 56244  |  1.253% | 42665  |  1.237% | 
 | 68   | Gastrodon          |  1.70824% | 70476  |  1.569% | 55809  |  1.618% | 
 | 69   | Crawdaunt          |  1.66151% | 50895  |  1.133% | 37509  |  1.088% | 
 | 70   | Hydreigon          |  1.65303% | 70862  |  1.578% | 52848  |  1.532% | 
 | 71   | Marowak-Alola      |  1.64888% | 78670  |  1.752% | 60020  |  1.740% | 
 | 72   | Latios             |  1.60063% | 85706  |  1.909% | 62503  |  1.812% | 
 | 73   | Heracross-Mega     |  1.56767% | 55186  |  1.229% | 39917  |  1.157% | 
 | 74   | Thundurus          |  1.46057% | 50049  |  1.115% | 37609  |  1.090% | 
 | 75   | Garchomp-Mega      |  1.45065% | 82659  |  1.841% | 61244  |  1.776% | 
 | 76   | Thundurus-Therian  |  1.38399% | 82643  |  1.840% | 64403  |  1.867% | 
 | 77   | Muk-Alola          |  1.37575% | 85556  |  1.905% | 66074  |  1.916% | 
 | 78   | Volcanion          |  1.36375% | 69042  |  1.538% | 54507  |  1.580% | 
 | 79   | Salamence          |  1.36200% | 89914  |  2.002% | 64834  |  1.880% | 
 | 80   | Mamoswine          |  1.34034% | 71986  |  1.603% | 57317  |  1.662% | 
 | 81   | Manectric-Mega     |  1.33500% | 78722  |  1.753% | 63233  |  1.833% | 
 | 82   | Gyarados           |  1.28872% | 102494 |  2.282% | 77682  |  2.252% | 
 | 83   | Slowbro            |  1.22350% | 40395  |  0.900% | 31159  |  0.903% | 
 | 84   | Quagsire           |  1.20689% | 46022  |  1.025% | 34164  |  0.991% | 
 | 85   | Buzzwole           |  1.18399% | 56422  |  1.256% | 41881  |  1.214% | 
