date,day_miles,year,wday,month
2016-07-25,0.48458291000000003,2016,Mon,Jul
2016-07-26,7.28077915,2016,Tue,Jul
2016-07-27,7.507251929,2016,Wed,Jul
2016-07-28,6.143255143,2016,Thu,Jul
2016-07-29,6.98392945,2016,Fri,Jul
2016-07-30,1.172129062,2016,Sat,Jul
2016-07-31,0.56901457,2016,Sun,Jul
2016-08-01,4.38603714,2016,Mon,Aug
2016-08-02,6.81948305,2016,Tue,Aug
2016-08-03,4.07465478,2016,Wed,Aug
2016-08-04,6.55903441,2016,Thu,Aug
2016-08-05,8.30187482,2016,Fri,Aug
2016-08-06,1.41347766,2016,Sat,Aug
2016-08-07,1.00327864,2016,Sun,Aug
2016-08-08,4.74050697,2016,Mon,Aug
2016-08-09,3.35040777,2016,Tue,Aug
2016-08-10,6.89206085,2016,Wed,Aug
2016-08-11,1.69023485,2016,Thu,Aug
2016-08-12,3.02518882,2016,Fri,Aug
2016-08-13,2.751792081,2016,Sat,Aug
2016-08-14,4.8630238,2016,Sun,Aug
2016-08-15,1.74931494,2016,Mon,Aug
2016-08-16,6.00698364,2016,Tue,Aug
2016-08-17,4.347323684,2016,Wed,Aug
2016-08-18,7.73076093,2016,Thu,Aug
2016-08-19,2.90378708,2016,Fri,Aug
2016-08-20,1.67744103,2016,Sat,Aug
2016-08-21,3.46943194,2016,Sun,Aug
2016-08-22,2.79330758,2016,Mon,Aug
2016-08-23,5.485447874,2016,Tue,Aug
2016-08-24,4.78410576,2016,Wed,Aug
2016-08-25,5.62004115,2016,Thu,Aug
2016-08-26,3.21812646,2016,Fri,Aug
2016-08-27,0.39982741,2016,Sat,Aug
2016-08-28,2.17839034,2016,Sun,Aug
2016-08-29,3.27442705,2016,Mon,Aug
2016-08-30,4.82516545,2016,Tue,Aug
2016-08-31,5.10304637,2016,Wed,Aug
2016-09-01,5.55457523,2016,Thu,Sep
2016-09-02,3.35547596,2016,Fri,Sep
2016-09-03,1.7483839970000001,2016,Sat,Sep
2016-09-04,1.31768058,2016,Sun,Sep
2016-09-05,2.00357373,2016,Mon,Sep
2016-09-06,5.360821907,2016,Tue,Sep
2016-09-07,4.34687714,2016,Wed,Sep
2016-09-08,4.148655522,2016,Thu,Sep
2016-09-09,3.26364714,2016,Fri,Sep
2016-09-10,0.72408402,2016,Sat,Sep
2016-09-11,1.52788961,2016,Sun,Sep
2016-09-12,4.64179912,2016,Mon,Sep
2016-09-13,5.00144175,2016,Tue,Sep
2016-09-14,3.50178289,2016,Wed,Sep
2016-09-15,6.6842414,2016,Thu,Sep
2016-09-16,3.36542745,2016,Fri,Sep
2016-09-17,2.51671922,2016,Sat,Sep
2016-09-18,6.27613408,2016,Sun,Sep
2016-09-19,4.75694322,2016,Mon,Sep
2016-09-20,3.48554446,2016,Tue,Sep
2016-09-21,4.54428811,2016,Wed,Sep
2016-09-22,4.51818193,2016,Thu,Sep
2016-09-23,2.29296056,2016,Fri,Sep
2016-09-24,0.72587361,2016,Sat,Sep
2016-09-25,2.166802141,2016,Sun,Sep
2016-09-26,3.95257954,2016,Mon,Sep
2016-09-27,3.906633455,2016,Tue,Sep
2016-09-28,3.69532671,2016,Wed,Sep
2016-09-29,4.34443718,2016,Thu,Sep
2016-09-30,3.44948487,2016,Fri,Sep
2016-10-01,0.498954666,2016,Sat,Oct
2016-10-02,1.513952345,2016,Sun,Oct
2016-10-03,5.0680963,2016,Mon,Oct
2016-10-04,3.522337126,2016,Tue,Oct
2016-10-05,4.11489291,2016,Wed,Oct
2016-10-06,5.577513477,2016,Thu,Oct
2016-10-07,3.12068363,2016,Fri,Oct
2016-10-08,2.85250268,2016,Sat,Oct
2016-10-09,1.28304523,2016,Sun,Oct
2016-10-10,3.28307019,2016,Mon,Oct
2016-10-11,4.30539517,2016,Tue,Oct
2016-10-12,3.28388602,2016,Wed,Oct
2016-10-13,5.16995662,2016,Thu,Oct
2016-10-14,2.98774449,2016,Fri,Oct
2016-10-15,3.769689504,2016,Sat,Oct
2016-10-16,1.57634152,2016,Sun,Oct
2016-10-17,4.15685501,2016,Mon,Oct
2016-10-18,3.73044423,2016,Tue,Oct
2016-10-19,3.79866086,2016,Wed,Oct
2016-10-20,4.88886895,2016,Thu,Oct
2016-10-21,2.883604959,2016,Fri,Oct
2016-10-22,4.257159711,2016,Sat,Oct
2016-10-23,3.79159013,2016,Sun,Oct
2016-10-24,3.4170508,2016,Mon,Oct
2016-10-25,4.507893348,2016,Tue,Oct
2016-10-26,5.13909813,2016,Wed,Oct
2016-10-27,4.45843174,2016,Thu,Oct
2016-10-28,3.774906302,2016,Fri,Oct
2016-10-29,0.698204755,2016,Sat,Oct
2016-10-30,1.3759954,2016,Sun,Oct
2016-10-31,2.627448874,2016,Mon,Oct
2016-11-01,3.991015602,2016,Tue,Nov
2016-11-02,5.73286307,2016,Wed,Nov
2016-11-03,4.77028544,2016,Thu,Nov
2016-11-04,3.010849278,2016,Fri,Nov
2016-11-05,1.70237926,2016,Sat,Nov
2016-11-06,5.84282603,2016,Sun,Nov
2016-11-07,3.765448428,2016,Mon,Nov
2016-11-08,6.446843903,2016,Tue,Nov
2016-11-09,3.06839815,2016,Wed,Nov
2016-11-10,7.62931906,2016,Thu,Nov
2016-11-11,1.89063895,2016,Fri,Nov
2016-11-12,2.48794982,2016,Sat,Nov
2016-11-13,1.3438018999999999,2016,Sun,Nov
2016-11-14,3.815804406,2016,Mon,Nov
2016-11-15,4.815807393,2016,Tue,Nov
2016-11-16,5.175525852,2016,Wed,Nov
2016-11-17,6.32790767,2016,Thu,Nov
2016-11-18,3.8596657199999997,2016,Fri,Nov
2016-11-19,2.73580364,2016,Sat,Nov
2016-11-20,1.9772538100000001,2016,Sun,Nov
2016-11-21,5.42154401,2016,Mon,Nov
2016-11-22,4.06002086,2016,Tue,Nov
2016-11-23,2.022984976,2016,Wed,Nov
2016-11-24,1.943839968,2016,Thu,Nov
2016-11-25,2.93593303,2016,Fri,Nov
2016-11-26,6.884056236,2016,Sat,Nov
2016-11-27,4.86379511,2016,Sun,Nov
2016-11-28,4.096245679,2016,Mon,Nov
2016-11-29,5.59411673,2016,Tue,Nov
2016-11-30,4.108026832,2016,Wed,Nov
2016-12-01,4.697623,2016,Thu,Dec
2016-12-02,5.59963521,2016,Fri,Dec
2016-12-03,0.14532629,2016,Sat,Dec
2016-12-04,3.55426977,2016,Sun,Dec
2016-12-05,1.61741734,2016,Mon,Dec
2016-12-06,7.42394413,2016,Tue,Dec
2016-12-07,3.415303282,2016,Wed,Dec
2016-12-08,2.681372799,2016,Thu,Dec
2016-12-09,3.58836866,2016,Fri,Dec
2016-12-10,0.9233323,2016,Sat,Dec
2016-12-11,0.94010998,2016,Sun,Dec
2016-12-12,0.9485979,2016,Mon,Dec
2016-12-13,0.24898968999999999,2016,Tue,Dec
2016-12-14,3.49146419,2016,Wed,Dec
2016-12-15,3.55575449,2016,Thu,Dec
2016-12-16,2.8083693100000002,2016,Fri,Dec
2016-12-17,2.40066152,2016,Sat,Dec
2016-12-18,4.78698157,2016,Sun,Dec
2016-12-19,1.79563219,2016,Mon,Dec
2016-12-20,1.9593308,2016,Tue,Dec
2016-12-21,4.55808748,2016,Wed,Dec
2016-12-22,1.92634869,2016,Thu,Dec
2016-12-23,1.3046616819999999,2016,Fri,Dec
2016-12-24,1.192739963,2016,Sat,Dec
2016-12-25,1.431850829,2016,Sun,Dec
2016-12-26,1.04221998,2016,Mon,Dec
2016-12-27,2.82381705,2016,Tue,Dec
2016-12-28,2.37176044,2016,Wed,Dec
2016-12-29,1.52989059,2016,Thu,Dec
2016-12-30,2.99633812,2016,Fri,Dec
2016-12-31,0.26671111000000003,2016,Sat,Dec
2017-01-01,1.27146887,2017,Sun,Jan
2017-01-02,1.6035912350000001,2017,Mon,Jan
2017-01-03,1.790829031,2017,Tue,Jan
2017-01-04,5.0553393699999996,2017,Wed,Jan
2017-01-05,2.80184391,2017,Thu,Jan
2017-01-06,1.01914189,2017,Fri,Jan
2017-01-07,1.39743287,2017,Sat,Jan
2017-01-08,2.397902485,2017,Sun,Jan
2017-01-09,1.17088643,2017,Mon,Jan
2017-01-10,0.31808601,2017,Tue,Jan
2017-01-11,0.8374033909999999,2017,Wed,Jan
2017-01-12,0.97189863,2017,Thu,Jan
2017-01-13,1.22810902,2017,Fri,Jan
2017-01-14,3.23939473,2017,Sat,Jan
2017-01-15,1.65115726,2017,Sun,Jan
2017-01-16,2.42969636,2017,Mon,Jan
2017-01-17,6.42800398,2017,Tue,Jan
2017-01-18,5.13162025,2017,Wed,Jan
2017-01-19,5.03047003,2017,Thu,Jan
2017-01-20,3.992957294,2017,Fri,Jan
2017-01-21,1.685162319,2017,Sat,Jan
2017-01-22,0.220449997,2017,Sun,Jan
2017-01-23,4.61549347,2017,Mon,Jan
2017-01-24,4.80956748,2017,Tue,Jan
2017-01-25,5.179109516,2017,Wed,Jan
2017-01-26,4.63910836,2017,Thu,Jan
2017-01-27,3.2958217,2017,Fri,Jan
2017-01-28,1.76249829,2017,Sat,Jan
2017-01-29,1.2426375,2017,Sun,Jan
2017-01-30,5.069247466,2017,Mon,Jan
2017-01-31,5.93005551,2017,Tue,Jan
2017-02-01,4.82404344,2017,Wed,Feb
2017-02-02,6.22401287,2017,Thu,Feb
2017-02-03,5.044494206,2017,Fri,Feb
2017-02-04,4.945586797,2017,Sat,Feb
2017-02-05,1.100827971,2017,Sun,Feb
2017-02-06,7.088892772,2017,Mon,Feb
2017-02-07,5.51141232,2017,Tue,Feb
2017-02-08,5.78975709,2017,Wed,Feb
2017-02-09,5.933239776,2017,Thu,Feb
2017-02-10,5.63703658,2017,Fri,Feb
2017-02-11,1.540745736,2017,Sat,Feb
2017-02-12,3.33559726,2017,Sun,Feb
2017-02-13,5.44991788,2017,Mon,Feb
2017-02-14,5.471179054,2017,Tue,Feb
2017-02-15,8.51341395,2017,Wed,Feb
2017-02-16,6.53207588,2017,Thu,Feb
2017-02-17,4.026162,2017,Fri,Feb
2017-02-18,1.83823968,2017,Sat,Feb
2017-02-19,2.7453426,2017,Sun,Feb
2017-02-20,0.10683851999999999,2017,Mon,Feb
2017-02-21,5.76164394,2017,Tue,Feb
2017-02-22,6.427345301,2017,Wed,Feb
2017-02-23,3.733006489,2017,Thu,Feb
2017-02-24,5.32043639,2017,Fri,Feb
2017-02-25,0.2758697,2017,Sat,Feb
2017-02-26,0.740357939,2017,Sun,Feb
2017-02-27,3.85510167,2017,Mon,Feb
2017-02-28,5.64571615,2017,Tue,Feb
2017-03-01,5.21569641,2017,Wed,Mar
2017-03-02,4.17093706,2017,Thu,Mar
2017-03-03,4.88743483,2017,Fri,Mar
2017-03-04,2.84452709,2017,Sat,Mar
2017-03-05,2.3638453,2017,Sun,Mar
2017-03-06,4.60994777,2017,Mon,Mar
2017-03-07,3.4272674199999997,2017,Tue,Mar
2017-03-08,4.70923905,2017,Wed,Mar
2017-03-09,5.20095775,2017,Thu,Mar
2017-03-10,4.46669757,2017,Fri,Mar
2017-03-11,3.50335557,2017,Sat,Mar
2017-03-12,1.89667246,2017,Sun,Mar
2017-03-13,4.26175451,2017,Mon,Mar
2017-03-14,6.28507664,2017,Tue,Mar
2017-03-15,4.935694184,2017,Wed,Mar
2017-03-16,4.96111249,2017,Thu,Mar
2017-03-17,5.19671908,2017,Fri,Mar
2017-03-18,6.01658807,2017,Sat,Mar
2017-03-19,3.8684105030000002,2017,Sun,Mar
2017-03-20,4.85234383,2017,Mon,Mar
2017-03-21,5.406022971,2017,Tue,Mar
2017-03-22,4.160707416,2017,Wed,Mar
2017-03-23,7.68934792,2017,Thu,Mar
2017-03-24,3.09662067,2017,Fri,Mar
2017-03-25,0.997847872,2017,Sat,Mar
2017-03-26,1.232104693,2017,Sun,Mar
2017-03-27,2.10547818,2017,Mon,Mar
2017-03-28,1.45891655,2017,Tue,Mar
2017-03-29,2.20596703,2017,Wed,Mar
2017-03-30,1.5264412299999999,2017,Thu,Mar
2017-03-31,2.379981932,2017,Fri,Mar
2017-04-01,1.271450872,2017,Sat,Apr
2017-04-02,2.253532802,2017,Sun,Apr
2017-04-03,4.21385281,2017,Mon,Apr
2017-04-04,5.48433891,2017,Tue,Apr
2017-04-05,6.26858868,2017,Wed,Apr
2017-04-06,5.13085032,2017,Thu,Apr
2017-04-07,7.24554783,2017,Fri,Apr
2017-04-08,0.48705566,2017,Sat,Apr
2017-04-09,7.344163904,2017,Sun,Apr
2017-04-10,5.50149602,2017,Mon,Apr
2017-04-11,9.37141454,2017,Tue,Apr
2017-04-12,5.03962434,2017,Wed,Apr
2017-04-13,6.91528911,2017,Thu,Apr
2017-04-14,6.27339369,2017,Fri,Apr
2017-04-15,3.05006223,2017,Sat,Apr
2017-04-16,1.11874749,2017,Sun,Apr
2017-04-17,4.04778694,2017,Mon,Apr
2017-04-18,6.29425899,2017,Tue,Apr
2017-04-19,4.36390378,2017,Wed,Apr
2017-04-20,5.3752368200000005,2017,Thu,Apr
2017-04-21,5.49151716,2017,Fri,Apr
2017-04-22,6.790641216,2017,Sat,Apr
2017-04-23,7.279225718,2017,Sun,Apr
2017-04-24,5.620290064,2017,Mon,Apr
2017-04-25,6.35511979,2017,Tue,Apr
2017-04-26,5.035366349,2017,Wed,Apr
2017-04-27,9.63345991,2017,Thu,Apr
2017-04-28,8.470195794,2017,Fri,Apr
2017-04-29,1.211338449,2017,Sat,Apr
2017-04-30,3.8064576900000002,2017,Sun,Apr
2017-05-01,5.60574933,2017,Mon,May
2017-05-02,4.832285644,2017,Tue,May
2017-05-03,3.51789905,2017,Wed,May
2017-05-04,2.9012991,2017,Thu,May
2017-05-05,3.15406157,2017,Fri,May
2017-05-06,5.42403588,2017,Sat,May
2017-05-07,1.38721793,2017,Sun,May
2017-05-08,2.37215801,2017,Mon,May
2017-05-09,2.07243999,2017,Tue,May
2017-05-10,4.44863246,2017,Wed,May
2017-05-11,6.45063496,2017,Thu,May
2017-05-12,3.69671745,2017,Fri,May
2017-05-13,2.263077604,2017,Sat,May
2017-05-14,4.42476132,2017,Sun,May
2017-05-15,5.184428662,2017,Mon,May
2017-05-16,2.679371618,2017,Tue,May
2017-05-17,0.24191234,2017,Wed,May
2017-05-18,0.59097982,2017,Thu,May
2017-05-19,1.5041577,2017,Fri,May
2017-05-20,1.22306296,2017,Sat,May
2017-05-21,2.44996171,2017,Sun,May
2017-05-22,1.2537845,2017,Mon,May
2017-05-23,1.79724098,2017,Tue,May
2017-05-24,0.3195464,2017,Wed,May
2017-05-25,0.44538651,2017,Thu,May
2017-05-26,7.06336928,2017,Fri,May
2017-05-27,2.341801595,2017,Sat,May
2017-05-28,1.787765714,2017,Sun,May
2017-05-29,0.92608459,2017,Mon,May
2017-05-30,0.54145052,2017,Tue,May
2017-05-31,2.86311195,2017,Wed,May
2017-06-01,1.86040377,2017,Thu,Jun
2017-06-02,4.59205263,2017,Fri,Jun
2017-06-03,1.834387502,2017,Sat,Jun
2017-06-04,2.679365146,2017,Sun,Jun
2017-06-05,1.172136196,2017,Mon,Jun
2017-06-06,0.202138287,2017,Tue,Jun
2017-06-07,3.35850287,2017,Wed,Jun
2017-06-08,4.21497245,2017,Thu,Jun
2017-06-09,1.4587183799999999,2017,Fri,Jun
2017-06-10,3.56965605,2017,Sat,Jun
2017-06-11,0.13103482,2017,Sun,Jun
2017-06-12,1.27254321,2017,Mon,Jun
2017-06-13,2.79093333,2017,Tue,Jun
2017-06-14,0.41986052,2017,Wed,Jun
2017-06-15,3.67319972,2017,Thu,Jun
2017-06-16,4.36108219,2017,Fri,Jun
2017-06-17,3.16156736,2017,Sat,Jun
2017-06-18,2.43031931,2017,Sun,Jun
2017-06-19,0.418866249,2017,Mon,Jun
2017-06-20,2.214616022,2017,Tue,Jun
2017-06-21,2.09000159,2017,Wed,Jun
2017-06-22,3.36711737,2017,Thu,Jun
2017-06-23,5.332900099,2017,Fri,Jun
2017-06-24,0.9890051599999999,2017,Sat,Jun
2017-06-25,2.751518775,2017,Sun,Jun
2017-06-26,5.536915662,2017,Mon,Jun
2017-06-27,4.33891521,2017,Tue,Jun
2017-06-28,4.97978365,2017,Wed,Jun
2017-06-29,4.46412896,2017,Thu,Jun
2017-06-30,4.6361029799999995,2017,Fri,Jun
2017-07-01,4.50034367,2017,Sat,Jul
2017-07-02,1.2495709289999999,2017,Sun,Jul
2017-07-03,5.5207014,2017,Mon,Jul
2017-07-04,1.157732511,2017,Tue,Jul
2017-07-05,2.640739883,2017,Wed,Jul
2017-07-06,1.9976145299999999,2017,Thu,Jul
2017-07-07,6.686647407,2017,Fri,Jul
2017-07-08,2.643728569,2017,Sat,Jul
2017-07-09,0.96036027,2017,Sun,Jul
2017-07-10,2.01481355,2017,Mon,Jul
2017-07-11,1.674073793,2017,Tue,Jul
2017-07-12,0.61397683,2017,Wed,Jul
2017-07-13,0.44751183,2017,Thu,Jul
