date,day_miles,year,wday,month
2016-07-25T07:00:00Z,0.48458291000000003,2016,Mon,Jul
2016-07-26T07:00:00Z,7.28291667,2016,Tue,Jul
2016-07-27T07:00:00Z,7.505114409,2016,Wed,Jul
2016-07-28T07:00:00Z,6.143255143,2016,Thu,Jul
2016-07-29T07:00:00Z,7.00322305,2016,Fri,Jul
2016-07-30T07:00:00Z,1.166828762,2016,Sat,Jul
2016-07-31T07:00:00Z,0.55502127,2016,Sun,Jul
2016-08-01T07:00:00Z,4.39156734,2016,Mon,Aug
2016-08-02T07:00:00Z,6.853559,2016,Tue,Aug
2016-08-03T07:00:00Z,4.03504863,2016,Wed,Aug
2016-08-04T07:00:00Z,6.55903441,2016,Thu,Aug
2016-08-05T07:00:00Z,8.30187482,2016,Fri,Aug
2016-08-06T07:00:00Z,1.44915055,2016,Sat,Aug
2016-08-07T07:00:00Z,0.96760575,2016,Sun,Aug
2016-08-08T07:00:00Z,4.74050697,2016,Mon,Aug
2016-08-09T07:00:00Z,3.35430377,2016,Tue,Aug
2016-08-10T07:00:00Z,6.88816485,2016,Wed,Aug
2016-08-11T07:00:00Z,1.69023485,2016,Thu,Aug
2016-08-12T07:00:00Z,3.02518882,2016,Fri,Aug
2016-08-13T07:00:00Z,2.751792081,2016,Sat,Aug
2016-08-14T07:00:00Z,4.8630238,2016,Sun,Aug
2016-08-15T07:00:00Z,1.84616804,2016,Mon,Aug
2016-08-16T07:00:00Z,5.91013054,2016,Tue,Aug
2016-08-17T07:00:00Z,4.347323684,2016,Wed,Aug
2016-08-18T07:00:00Z,7.73076093,2016,Thu,Aug
2016-08-19T07:00:00Z,2.98303683,2016,Fri,Aug
2016-08-20T07:00:00Z,1.59819128,2016,Sat,Aug
2016-08-21T07:00:00Z,4.00791874,2016,Sun,Aug
2016-08-22T07:00:00Z,2.30666181,2016,Mon,Aug
2016-08-23T07:00:00Z,5.433606844,2016,Tue,Aug
2016-08-24T07:00:00Z,5.54481296,2016,Wed,Aug
2016-08-25T07:00:00Z,4.85933395,2016,Thu,Aug
